input_text,target_text
English: spoon | German: Span | Dutch: spaan | Swedish: spån,spōn
English: coal | German: Kohle | Dutch: kool | Swedish: kol,col
English: while | German: Weile | Dutch: wijl | Swedish: vila,hwīl
English: runestaff | Swedish: runstav,rūnstæf
English: toothless | German: zahnlos | Dutch: tandeloos | Swedish: tandlös,tōþlēas
English: min | German: min | Dutch: min,min
English: sale | Swedish: salu,sala
English: huxen | German: Hachse | Dutch: haas,hōhsinu
English: neck | German: Nacken | Dutch: nek | Swedish: nacke,*hnæcca
English: greet | German: grüßen | Dutch: groeten,grētan
English: drench | German: Trank | Dutch: drank,drenċ
German: smiehen | Dutch: smuiken,smēocan
English: keen | German: kühn | Dutch: koen | Swedish: kön,cēne
English: is | German: ist | Dutch: is,is
English: grass-green | German: grasgrün | Dutch: grasgroen | Swedish: gräsgrön,græsgrēne
English: backboard | German: Backbord | Dutch: bakboord | Swedish: babord,bæcbord
English: yet | Swedish: gitta,ġetan
English: swim | German: schwimmen | Dutch: zwemmen | Swedish: simma,swimman
English: eagre | Dutch: agger,ēagor
German: heften | Dutch: hechten | Swedish: häfta,hæftan
English: unmight | German: Unmacht | Dutch: onmacht,unmeaht
English: house | German: Haus | Dutch: huis | Swedish: hus,hūs
English: thack | German: Dach | Dutch: dak | Swedish: tak,þæc
German: magern | Dutch: mageren,mægerian
English: steer | German: steuern | Dutch: sturen | Swedish: styra,stīeran
English: helm | German: Helm | Dutch: helm | Swedish: hjälm,helm
English: shit | German: scheißen | Dutch: schijten | Swedish: skita,sċītan
English: so | German: so | Dutch: zo | Swedish: så,swā
English: wisent | German: Wisent | Dutch: wisent | Swedish: vessel,wesend
English: gray | German: grau | Dutch: grauw | Swedish: grå,grǣġ
English: snekke | German: Schnacke | Dutch: snek | Swedish: schnacke,snacc
Dutch: wrang | Swedish: vrång,wrang
English: sharn | German: Schierling | Dutch: scharn | Swedish: skarn,sċearn
English: dim | German: dimmen | Dutch: dimmen,dimmian
English: fordrive | German: vertreiben | Dutch: verdrijven | Swedish: fördriva,fordrīfan
English: stitch | German: sticken | Dutch: stikken,*stiċċan
English: lair | German: Lager | Dutch: leger | Swedish: lager,leġer
English: lake | German: laichen | Swedish: leka,lācan
English: spiking | Dutch: spijk | Swedish: spik,spīcing
English: leak | German: lechen | Dutch: lekken | Swedish: läka,*lecan
English: straw | German: Stroh | Dutch: stro | Swedish: strå,strēaw
English: yeast | German: Gest | Dutch: gist | Swedish: jäst,ġiest
English: deep | German: Tiefe,dīepe
English: helm | German: Holm | Dutch: helm,helma
English: lin | Swedish: linna,linnan
English: parrock | German: Park | Dutch: park | Swedish: pärk,pearroc
German: Feifalter | Dutch: vijfwouter | Swedish: fjäril,fifalde
English: sheaf | German: Schof | Dutch: schoof,sċēaf
English: slipper | German: schlüpfrig,slipor
English: swarm | German: Schwarm | Dutch: zwerm | Swedish: svärm,swearm
German: Zibbe | Dutch: teef | Swedish: täva,tife
English: brown | German: braun | Dutch: bruin | Swedish: brun,brūn
English: aright | Dutch: gerechten,ġerihtan
German: Bürde | Dutch: borde | Swedish: börda,byrd
English: lait | Swedish: leta,wlātian
English: bever | German: bibbern | Dutch: beven | Swedish: bäva,bifian
English: barn | Swedish: rannsaka,ærn
English: bitter | German: bitter | Dutch: bitter | Swedish: bitter,biter
English: law | Swedish: laga,lagian
English: spring | German: springen | Dutch: springen | Swedish: springa,springan
English: bow | German: Bogen | Dutch: boog | Swedish: båge,boga
English: stick | German: Stecken | Dutch: stek | Swedish: sticka,sticca
English: leer | German: leer | Dutch: laar,*lǣre
English: plough | German: Pflug | Dutch: ploeg | Swedish: plog,plōg
German: fluten | Dutch: vloeden | Swedish: flöda,*flēdan
English: flet | German: Flett | Dutch: flat,flett
English: row | German: rojen | Dutch: roeien | Swedish: ro,rōwan
English: unlike | German: ungleich | Dutch: ongelijk | Swedish: olik,unġelīċ
English: wed | German: wetten | Dutch: wedden | Swedish: vädja,weddian
English: patch | Dutch: plek,*plæċċ
German: rümpfen | Dutch: rimpelen,hrimpan
English: wort | German: Wurz | Swedish: rot,wyrt
English: lifeless | German: leiblos | Dutch: lijveloos | Swedish: livlös,līflēas
English: mun | Swedish: månde,munan
German: Geburt | Dutch: geboorte,ġebyrd
German: lähmen | Dutch: lemmen | Swedish: lämma,lemman
English: war | Dutch: war,wearr
English: leigh | German: Loh | Dutch: lo,lēah
English: slaught | Swedish: slåtter,sliht
English: hean | German: höhn | Dutch: hoon,hēan
English: smear | German: Schmer | Dutch: smeer | Swedish: smör,smeoru
English: heal | German: heilen | Dutch: healen | Swedish: hela,hǣlan
English: guerdon | German: Lohn | Dutch: loon | Swedish: lön,lēan
English: sore | Dutch: zeer | Swedish: sår,sār
English: shelf | Dutch: schelf | Swedish: skälv,sċielf
German: meiden | Dutch: mijden,mīþan
English: overfull | German: übervoll | Dutch: overvol,oferfull
English: draff | German: Treber | Dutch: draf | Swedish: drav,*dræf
English: sile | German: Säule | Dutch: zuil | Swedish: sula,sȳl
English: singe | German: sengen | Dutch: zengen,senġan
English: Odoacer | German: Otakar,Ēadwacer
English: sty | German: steigen | Dutch: stijgen | Swedish: stiga,stīgan
English: halse | German: Hals | Dutch: hals | Swedish: hals,heals
German: weichen | Dutch: weken,wǣcan
German: Stör | Dutch: steur | Swedish: stör,styria
English: fire | German: Feuer | Dutch: vuur | Swedish: fyr,fȳr
English: swelt | Dutch: zwelten | Swedish: svälta,sweltan
English: bond | German: Bund | Dutch: bond | Swedish: bunt,bund
German: stoßen | Dutch: stoten,*stēatan
English: worthly | Dutch: waardelijk,weorþlīċ
German: gern | Dutch: gaarne | Swedish: gärna,ġeorne
German: drang | Dutch: drang | Swedish: trång,*þrang
English: back | German: huckepack | Swedish: bak,bæc
English: salon | German: Saal | Dutch: zaal | Swedish: sal,sele
English: bewind | German: bewinden | Dutch: bewinden,bewindan
English: wether | German: Widder | Dutch: weder | Swedish: vädur,weþer
English: mere | Dutch: meren | Swedish: landamäre,mǣre
English: fack | German: Fach | Dutch: vak | Swedish: fack,fæc
English: sew | Swedish: sy,siwian
English: light | German: leuchten | Dutch: luchten,līehtan
English: yield | German: gelten | Dutch: gelden | Swedish: gälla,ġieldan
English: milk | German: melken | Dutch: melken,melcan
English: shackle | German: Schäckel | Dutch: schakel | Swedish: schackel,sċacul
English: shovel | German: Schaufel | Dutch: schoffel | Swedish: skyffel,sċofl
German: erlauben | Dutch: oorloven,ālīefan
English: mane | German: Mähne | Dutch: maan | Swedish: man,manu
English: teem | German: ziemen,*teman
English: ell | German: Elle | Dutch: el | Swedish: aln,eln
English: fane | German: Fahne | Dutch: vaan | Swedish: fana,fana
English: gonfanon | Dutch: gonfanon,gūþfana
English: flay | Swedish: flå,flēan
English: ark | German: Arche | Dutch: ark | Swedish: ark,earce
English: leave | German: lauben,līefan
English: sear | German: sohr | Dutch: zoor | Swedish: skör,sēar
English: sump | German: Sumpf | Dutch: zomp | Swedish: sump,*sump
English: can | German: Kanne | Dutch: kan | Swedish: kanna,canne
English: fallow | German: fahl | Dutch: vaal | Swedish: fal,fealu
German: Art | Dutch: aard | Swedish: art,*erd
English: haft | German: Heft | Dutch: heft | Swedish: häfte,hæft
English: mead | German: Matte | Dutch: made,mǣd
English: white | German: weiß | Dutch: wit | Swedish: vit,hwīt
English: gall | German: Galle | Swedish: gall,ġealla
English: smicker | Swedish: smäcker,smicor
English: hip | German: Hiefe | Dutch: hiep | Swedish: hypa,hēope
English: misdeed | German: Missetat | Dutch: misdaad | Swedish: missdåd,misdǣd
English: tuck | Dutch: tokken | Swedish: tåga,tucian
English: fart | German: farzen | Swedish: fjärta,*feortan
English: ebb | German: Ebbe | Dutch: eb | Swedish: ebb,ebba
English: berry | German: beren | Swedish: bärja,berian
English: smack | German: Schmack | Dutch: smaak | Swedish: smak,smæċ
English: walk | German: walken | Dutch: walken,wealcan
English: shite | German: Schitte | Dutch: schijt | Swedish: skit,*sċite
English: stone | German: steinen | Swedish: stena,*stānian
English: betwixt | German: zwischen,*twisċ
English: cheap | German: käufen | Dutch: kopen | Swedish: köpa,ċīepan
English: stonen | German: steinen | Dutch: stenen,stǣnen
English: evil | German: übel | Dutch: euvel,yfel
English: scab | Swedish: skabb,sċeabb
English: mow | German: mähen | Dutch: maaien | Swedish: meja,māwan
English: bore | German: bohren | Dutch: boren | Swedish: borra,borian
English: burst | German: bresten | Dutch: barsten | Swedish: brista,berstan
English: salve | German: salben,sealfian
English: meat | German: Mett | Dutch: met | Swedish: mat,mete
English: ho | Dutch: heugen,hogian
English: drite | Dutch: drijten | Swedish: drita,drītan
English: tear | German: Zähre | Swedish: tår,tēar
English: shale | German: Schale | Dutch: schaal,sċealu
English: chew | German: kauen | Dutch: kauwen | Swedish: tugga,ċēowan
German: sei | Dutch: zij,sīe
German: bloß | Dutch: bloot | Swedish: blott,blēat
English: foster | Swedish: foster,fōstor
English: Rayner | German: Rainer | Dutch: Reinier | Swedish: Ragnar,*Ræġenhere
English: bee | German: Baug | Dutch: beugel | Swedish: baug,bēag
English: ear | German: Ohr | Dutch: oor | Swedish: öra,ēare
English: galder | German: Galsterei | Swedish: galder,galdor
English: Harrow | Swedish: harg,hearg
English: wark | Swedish: värk,wærċ
English: tile | German: Ziegel | Dutch: tegel | Swedish: tegel,tigele
English: slime | German: Schleim | Dutch: slijm | Swedish: slem,slīm
English: kerf | Swedish: korv,cyrf
English: draught | German: Tracht | Dutch: dracht | Swedish: drakt,*dræht
German: irre | Dutch: ar,eorre
English: bowl | Dutch: bol | Swedish: bulle,bolla
English: laughter | Dutch: lachter,hleahtor
English: weevil | German: Wiebel | Dutch: wevel | Swedish: vivel,wifel
English: wit | German: wissen | Dutch: weten | Swedish: veta,witan
English: howl | German: heulen | Dutch: huilen | Swedish: hyla,*hūlian
English: knee | German: Knie | Dutch: knie | Swedish: knä,cnēow
English: goat | German: Geiß | Dutch: geit | Swedish: get,gāt
English: leach | German: lecken | Dutch: lekken,leċċan
English: lie | German: liegen | Dutch: liggen | Swedish: ligga,liċġan
English: stepbarn | Swedish: styvbarn,stēopbearn
English: here | German: geheuer | Dutch: guur | Swedish: ohyra,hēore
English: marrow | German: Mark | Dutch: merg | Swedish: märg,mærh
English: rain | German: regnen | Dutch: regenen | Swedish: regna,reġnian
English: friendly | German: freundlich | Dutch: vriendelijk | Swedish: fryntlig,frēondlīċ
English: thigh | German: Diech | Dutch: dij,þēoh
English: sop | Dutch: soppen,soppian
German: Wunsch | Dutch: wens,wūsc
English: throw | German: drehen | Dutch: draaien | Swedish: dreja,þrāwan
English: nadder | German: Natter | Dutch: adder | Swedish: natter,nǣdre
English: grin | German: grannen | Dutch: grinnen | Swedish: gränja,grennian
English: dam | German: dämmen | Dutch: dammen | Swedish: dämma,*demman
English: yew | German: Eibe | Dutch: ijf,īw
English: sprot | German: Sprosse,sprota
English: ward | German: warten | Dutch: warden | Swedish: vårda,weardian
English: brook | German: brauchen | Dutch: bruiken | Swedish: bruka,brūcan
English: crab | German: Krabbe | Dutch: krab | Swedish: krabba,crabba
English: halfdead | German: halbtot | Dutch: halfdood | Swedish: halvdöd,healfdēad
English: fold | German: falten | Dutch: vouwen,*fealdian
German: Kilt | Swedish: kväll,cwild
English: lot | German: Lotterie | Dutch: lot | Swedish: lotto,hlot
English: lead | German: leiten | Dutch: leiden | Swedish: leda,lǣdan
English: glow | German: glühen | Dutch: gloeien | Swedish: glo,glōwan
German: kundig | Dutch: kundig | Swedish: kunnig,cȳþiġ
English: even | German: Abend | Dutch: avond | Swedish: afton,ǣfen
English: heifer | German: Färse | Dutch: vaars,*færu
English: tharm | German: Darm | Dutch: darm | Swedish: tarm,þearm
English: heart | German: Herz | Dutch: hart | Swedish: hjärta,heorte
English: glad | Dutch: gladden,gladian
English: ogle | German: äugen | Dutch: ogen,ēowan
English: sprint | Swedish: sprätta,sprentan
English: shade | German: Schatten | Dutch: schaduw,sċeadu
English: gang | German: ging | Swedish: gånga,gangan
English: hound | German: Hund | Dutch: hond | Swedish: hund,hund
English: braai | German: Brät | Dutch: braai | Swedish: bråd,brǣd
German: Forelle | Dutch: voorn | Swedish: färna,forn
English: nest | German: Nest | Dutch: nest | Swedish: näste,nest
English: gird | German: gürten | Dutch: gorden | Swedish: gjorda,gyrdan
English: free | German: frei | Dutch: vrij | Swedish: fri,frēo
German: Zügel | Dutch: teugel | Swedish: tygel,tyġel
English: out | Dutch: uit | Swedish: ute,ūte
English: ear | German: Ähre | Dutch: aar,ēar
English: arm | German: arm | Dutch: arm | Swedish: arm,earm
English: stream | German: Strom | Dutch: stroom | Swedish: ström,strēam
English: taw | Dutch: touwen | Swedish: te,tawian
German: eisen | Dutch: ijzen,*īsian
English: wool | German: Wolle | Dutch: wol | Swedish: ull,wull
English: leed | German: Lied | Dutch: lied,lēoþ
English: hold | German: hold | Dutch: hou | Swedish: hull,hold
English: dwell | Swedish: dvälja,dwellan
English: loaf | German: Laib | Swedish: lev,hlāf
English: dull | German: doll | Dutch: dol,dol
English: Edward | German: Eduard | Swedish: Edvard,Ēadweard
English: fatherly | German: väterlich | Dutch: vaderlijk | Swedish: faderlig,fæderlīċ
English: heel | Dutch: hiel | Swedish: häl,hēla
English: grit | German: Grieß | Dutch: grit | Swedish: gryt,grēot
German: Wohltat | Dutch: weldaad,weldǣd
English: elm | German: Ulme | Dutch: olm | Swedish: alm,elm
English: frood | Dutch: vroed | Swedish: frod,frōd
English: bloom | Dutch: bloemen,*blōmian
English: boat | German: Boot | Dutch: boot,bāt
English: boose | German: Banse | Dutch: boes | Swedish: bås,*bōs
English: ey | Swedish: age,eġe
English: -ish | German: -isch | Dutch: -s | Swedish: -sk,-isċ
English: troth | Swedish: trygd,trēowþ
English: finch | Dutch: vink | Swedish: fink,finc
English: wolf | German: Wolf | Dutch: wolf | Swedish: ulv,wulf
English: bowl | German: Bollchen | Dutch: bol,bolle
English: hard | German: härten | Dutch: harden | Swedish: härda,hierdan
English: wrist | German: Rist | Swedish: vrist,wrist
English: leave | Swedish: leva,lǣfan
English: eke | Swedish: och,ēaca
English: rank | German: rank | Dutch: rank | Swedish: rank,ranc
English: fresh | German: frisch | Dutch: vers | Swedish: frisk,fersċ
English: pea | German: Pfau | Dutch: pauw | Swedish: påfågel,pāwa
English: redd | German: retten | Dutch: redden | Swedish: rädda,hreddan
English: wash | German: waschen | Dutch: wassen | Swedish: vaska,wascan
German: Hor | Dutch: hore,horh
English: smite | German: schmeißen | Dutch: smijten | Swedish: smita,smītan
English: yell | German: gellen | Dutch: gillen | Swedish: gälla,ġiellan
English: claw | German: klauen | Dutch: klooien | Swedish: klå,clawan
English: bread | German: Breite,brǣdu
English: sheaf | German: Schof | Dutch: schoof,sċēaf
English: flacker | German: flackern | Dutch: flakkeren,*flacorian
English: shear | German: scheren | Dutch: scheren | Swedish: skära,sċieran
English: bane | Swedish: bane,bana
English: halm | German: Halm | Dutch: halm | Swedish: halm,healm
German: wallen | Dutch: wallen,weallian
English: sweat | German: Schweiß | Dutch: zweet | Swedish: svett,swāt
English: ferry | German: Ferge | Dutch: veren | Swedish: färja,ferian
English: gar | German: gerben | Dutch: gerven | Swedish: garva,ġierwan
English: bathe | German: baden | Dutch: baden | Swedish: bada,baþian
English: barrow | German: Barg | Dutch: barg,bearg
English: shape | German: schöpfen | Dutch: scheppen | Swedish: skapa,sċieppan
English: felloe | German: Felge | Dutch: velg | Swedish: fälg,felg
English: Jute | German: Jüte | Dutch: Juut | Swedish: jute,Ēotas
English: for | German: für | Dutch: veur | Swedish: före,for
English: fart | German: farzen,*feartian
English: hull- | Swedish: valv,hwealf
English: wonder | German: Wunder | Dutch: wonder | Swedish: under,wundor
English: kittle | German: killern | Dutch: kietelen | Swedish: kittla,citelian
English: ache | Dutch: aak,eċe
English: moth | German: Motte | Dutch: mot,moþþe
English: drighten | German: Trechtein | Swedish: drotten,dryhten
English: shunt | German: schünden | Swedish: skynda,sċyndan
English: swart | Dutch: zwarten,sweartian
English: netting | German: netzen | Dutch: netten,*nettan
English: last | German: Leisten | Dutch: leest | Swedish: läst,lāst
English: fox | German: Fuchs | Dutch: vos,fox
English: top | German: Top | Dutch: top | Swedish: topp,top
German: schellen | Dutch: schellen | Swedish: skälla,scellan
English: daughter | German: Tochter | Dutch: dochter | Swedish: dotter,dohtor
English: thurse | German: Turse | Swedish: tuss,þyrs
English: teanel | German: Zaine | Swedish: tena,tǣnel
English: wick | German: weichen | Dutch: wijken | Swedish: vika,wīcan
English: shame | German: schämen | Dutch: schamen,sċamian
English: gallow | German: Galgen | Dutch: galg | Swedish: galge,ġealga
English: brighten | Swedish: *birta,birhtan
English: twine | German: zwirnen | Dutch: tweernen | Swedish: tvinna,*twīnian
English: holm | German: Holm | Dutch: holm | Swedish: holme,holm
German: einhändig | Swedish: enhänt,ānhende
English: arse | German: Arsch | Dutch: aars | Swedish: arsel,ears
English: godless | German: gottlos | Dutch: goddeloos | Swedish: gudlös,*godlēas
Dutch: smeersel | Swedish: smörjelse,smirels
English: late | German: lass | Dutch: laat | Swedish: lat,læt
English: bake | German: backen | Dutch: bakken | Swedish: baka,bacan
German: länden | Dutch: belenden | Swedish: lända,lendan
English: wathe | German: Weide | Dutch: weide,wāþ
German: Süden | Dutch: zuiden | Swedish: sunnan,sūþan
English: lew | German: leunen | Dutch: luw | Swedish: ly,*hlīewe
English: daylong | German: tagelang,dæġlang
English: geg | German: geigen,*gǣġan
English: onlay | German: anlegen | Dutch: aanleggen | Swedish: ålägga,*onlecgan
English: seventh | German: siebente | Dutch: zevende | Swedish: sjunde,seofoþa
English: true | German: treu | Dutch: trouw | Swedish: trygg,trīewe
English: gum | Swedish: gom,gōma
English: mound | German: Mund | Dutch: mond,mund
English: moss | German: Moos | Dutch: mos | Swedish: mosse,mos
English: time | Swedish: tima,ġetīmian
German: geraten | Dutch: geraden,ġerǣdan
English: stamp | German: stampfen | Dutch: stampen | Swedish: stampa,*stampian
English: queer | German: verquast | Dutch: dwars | Swedish: queer,þweorh
English: shriek | Swedish: skrika,*sċrīċan
English: flock | Swedish: flock,flocc
English: workday | German: Werktag,weorcdæġ
English: break | German: brechen | Dutch: breken | Swedish: bräcka,brecan
English: stempne | Dutch: stem | Swedish: stämma,stemn
English: won | German: wohnen | Dutch: wonen | Swedish: ana,wunian
English: sweb | Swedish: sväva,swebban
English: thank | German: Dank | Dutch: dank | Swedish: tack,þanc
English: Tiw | Swedish: Ti,Tīw
German: Botschaft | Dutch: boodschap,bodsċipe
English: foresay | German: vorsagen | Dutch: voorzeggen,foreseċġan
English: road | German: Reede | Dutch: rede | Swedish: räd,rād
English: flee | German: fliehen | Dutch: vlieden | Swedish: fly,flēon
English: craft | German: Kraft | Dutch: kracht | Swedish: kraft,cræft
English: foam | German: Feim,fām
English: batful | Dutch: baat,*bata
English: swim | German: Schweim | Dutch: zwijm | Swedish: svim,swīma
English: sill | Dutch: zulle | Swedish: syll,syl
English: acorn | German: Ackeran | Dutch: aker | Swedish: akarn,æcern
English: fleam | German: flämisch | Dutch: Vlaams,flēam
English: string | German: strängen | Dutch: strengen,strengan
English: north | Swedish: norr,norþ
English: stake | German: Stake | Dutch: staak | Swedish: stake,staca
German: gönne | Dutch: gun,ann
English: har | Dutch: har,heorra
English: hind | German: Hinde | Dutch: hinde | Swedish: hind,hind
English: fleck | German: flecken | Dutch: vlekken | Swedish: fläcka,*fleccian
English: fain | Swedish: fägen,fæġen
English: thill | German: Diele | Dutch: deel | Swedish: tilja,þille
English: firn | German: firne | Dutch: verne | Swedish: forn,firn
English: beat | German: boßen | Dutch: boten,bēatan
English: mew | German: Möwe | Dutch: meeuw | Swedish: mås,mǣw
English: gore | German: Gur | Dutch: goor | Swedish: gur,gor
English: quick | German: quick | Dutch: kwik | Swedish: käck,cwic
English: stound | German: stunden | Swedish: stunda,*stundian
English: right | German: richten | Dutch: richten | Swedish: rätta,rihtan
English: yare | German: gar | Dutch: gaar,ġearu
English: trot | Dutch: trotten,tryddian
English: wang | German: Wange | Dutch: wang,wange
English: calf | German: Kalb | Dutch: kalf | Swedish: kalv,ċealf
English: manifold | German: mannigfaltig | Dutch: menigvoud | Swedish: mångfald,maniġfeald
English: hair | German: Haar | Dutch: haar | Swedish: hår,hǣr
English: ridge | Dutch: rug | Swedish: rygg,hryċġ
English: crutch | German: Krücke | Dutch: kruk | Swedish: krycka,cryċċ
English: naked | German: nackt | Dutch: naakt | Swedish: nakot,nacod
English: forlet | German: verlassen | Dutch: verlaten | Swedish: förlåta,forlǣtan
English: stand | German: standen | Dutch: standen | Swedish: stånda,standan
English: aye | German: Ehe | Dutch: eeuw | Swedish: ä,āwa
English: brest | Swedish: bröst,brēost
English: breach | German: Bruch | Dutch: breuk | Swedish: bråk,bryċe
German: einäugig | Swedish: enögd,ānīeġe
English: near | German: näher | Dutch: naar | Swedish: när,nēar
English: full | German: voll | Dutch: vol | Swedish: full,full
English: forgive | German: vergeben | Dutch: vergeven | Swedish: förgiva,forġiefan
English: twin | German: Zwilling | Dutch: tweeling | Swedish: tvenne,twin
English: swike | Dutch: zwijken | Swedish: svika,swīcan
English: hulster | German: Holster | Dutch: holster | Swedish: hölster,heolstor
English: fly | German: Flug | Dutch: vleug,flyge
English: cookie | German: Kuchen | Dutch: koek | Swedish: quiche,*cōca
English: mare | German: Mahr | Dutch: mare | Swedish: mara,mare
English: middle | German: Mittel | Dutch: middel | Swedish: medel,middel
English: Varangian | Swedish: väring,wǣrgenġa
English: slink | Dutch: slinken | Swedish: slinka,slincan
English: well | German: wohl | Dutch: wel | Swedish: väl,wel
English: draw | German: tragen | Dutch: dragen | Swedish: draga,dragan
English: thrum | German: Trumm | Dutch: drom | Swedish: tröm,*þrum
English: minse | Swedish: minska,minsian
English: unco | German: unkund | Dutch: onkond | Swedish: okund,uncūþ
English: rive | Swedish: riva,*rīfan
English: life | German: Leib | Dutch: lijf | Swedish: liv,līf
English: lithe | German: lind | Dutch: lind,līþe
English: sark | Swedish: särk,sierċe
English: rime | German: Reim | Dutch: rijm | Swedish: rim,rīm
German: seien | Dutch: zijn,sīen
English: tong | German: Zange | Dutch: tang | Swedish: tång,tang
English: set | German: setzen | Dutch: zetten | Swedish: sätta,settan
English: swamp | German: Schwamm | Dutch: zwam | Swedish: svamp,swamm
English: sackless | Swedish: saklös,saclēas
English: daw | German: Tach,*dāwe
English: clead | German: kleiden | Dutch: kleden | Swedish: kläda,clǣþan
English: sunder | German: sondern | Dutch: zonderen,sundrian
English: hey | German: heiter,hādor
English: strake | German: strack | Dutch: strak,stræc
English: wish | German: wünschen | Dutch: wensen | Swedish: önska,wȳsċan
English: hail | German: Hagel | Dutch: hagel,hæġl
English: tithe | Dutch: tienden | Swedish: tionda,tēoþian
English: shall | German: sollen | Dutch: zullen | Swedish: skola,sċulan
English: frost | German: Frost | Dutch: vorst | Swedish: frost,forst
English: skink | German: Schinken | Dutch: schink | Swedish: skinka,*sċenc
English: wanger | German: Wanger,wænge
English: runnel | Swedish: rännil,rynel
German: Neid | Dutch: nijd | Swedish: nid,nīþ
English: drop | German: Tropfe | Dutch: drop | Swedish: droppe,dropa
English: wight | German: Wicht | Dutch: wicht | Swedish: vätte,wiht
English: womb | German: Wamme | Dutch: wam | Swedish: våm,wamb
English: churn | German: Karn | Dutch: karn | Swedish: kärna,ċirin
English: smolt | Dutch: smout | Swedish: smulta,smolt
English: skill | Dutch: schillen | Swedish: skilja,sċiellan
English: though | German: doch | Dutch: doch | Swedish: dock,þēah
English: wax | German: wachsen | Dutch: wassen | Swedish: växa,weaxan
English: baker | German: Bäcker | Dutch: bakker | Swedish: bagare,bæcere
English: erne | German: Arn | Dutch: arend | Swedish: örn,earn
English: book | German: Buche | Dutch: beuk | Swedish: bok,bōc
English: spur | Dutch: sporen,*sporian
German: Ernte | Swedish: (archaic or dialectal) and,*iern
English: dirt | German: Driss | Swedish: dret,drit
English: duck | German: tauchen | Dutch: duiken | Swedish: dyka,*dūcan
English: sedge | German: Segge | Dutch: zegge,seċġ
English: say | German: sagen | Dutch: zeggen | Swedish: säga,seċġan
English: length | German: Längde | Dutch: lengte | Swedish: längd,lengþu
English: lax | German: Lachs | Dutch: las | Swedish: lax,leax
English: friend | German: Freund | Dutch: vriend | Swedish: frynt,frēond
English: thorp | German: -trop | Dutch: terp | Swedish: torp,þorp
English: ready | Dutch: gereed | Swedish: redo,ġerǣde
English: so | German: so | Dutch: zo | Swedish: så,swā
English: elder | German: älter | Swedish: äldre,eldra
English: whole | German: eil | Dutch: heel | Swedish: hel,hāl
English: mole | German: Meil,māl
English: -bearing | German: -bar | Dutch: -baar | Swedish: -bar,-bǣre
English: wean | German: entwöhnen | Dutch: wennen | Swedish: vänja,wenian
English: penny | German: Pfennig | Dutch: penning | Swedish: penning,penning
English: brood | German: Brut | Dutch: broed,brōd
English: sengreen | German: Sintflut | Swedish: sina,sine-
English: whirl | German: wirbeln | Dutch: wervelen | Swedish: virvla,*hwirfilian
English: bend | Swedish: bända,bendan
English: flea | German: Floh | Dutch: vlo,flēah
English: home | German: Heim | Dutch: heem | Swedish: hem,hām
English: lisp | Swedish: läsp,wlisp
English: stone | German: Stein | Dutch: steen | Swedish: sten,stān
English: earthhouse | German: Erdhaus,eorþhūs
German: wäre | Dutch: ware,wǣre
English: -fold | German: -falt | Dutch: -voud | Swedish: -fald,-feald
English: fight | German: fechten | Dutch: vechten | Swedish: fäkta,feohtan
English: coke | German: Kolk | Dutch: kolk,*colc
English: sleep | German: Schlaf | Dutch: slaap,slǣp
Dutch: gronden | Swedish: grunda,*grundian
German: gestern | Dutch: gisteren,ġiestran
English: shide | German: Scheit | Dutch: schijd | Swedish: skid,sċīd
English: sax | German: Sachs | Dutch: zas | Swedish: sax,seax
English: studhorse | German: Stutroß,stōdhors
English: undern | Dutch: onder | Swedish: undarn,undern
English: blood | German: Blut | Dutch: bloed | Swedish: blod,blōd
English: ware | German: wahren | Dutch: garage | Swedish: vara,warian
English: murder | German: mördern,myrþran
English: con | German: Eichhorn | Dutch: eekhoorn | Swedish: ekorre,ācweorna
English: fluke | German: flach | Dutch: vlak | Swedish: flack,flōc
English: drop | German: tropfen | Dutch: druppen | Swedish: droppa,droppian
English: hide | German: Haut | Dutch: huid | Swedish: hud,hȳd
English: fodder | German: Futter | Dutch: voeder | Swedish: foder,fōdor
English: eld | German: Älte | Dutch: oude,ild
Dutch: wezen | Swedish: vara,wesan
English: bid | German: bitten | Dutch: bidden | Swedish: bedja,biddan
English: sam | German: sammen | Dutch: tsamen | Swedish: samman,samen
English: wonder | German: wundern | Dutch: wonderen | Swedish: undra,wundrian
English: henchman | German: Hengst | Dutch: hengst | Swedish: hingst,henġest
English: sowl | Dutch: zuivel | Swedish: sofvel,sufel
English: mast | German: Mast | Dutch: mast | Swedish: mast,mæst
English: sib | German: Sippe | Dutch: sibbe,sibb
English: rue | German: reuen | Dutch: rouwen,hrēowan
English: strong | German: streng | Dutch: strang | Swedish: sträng,strang
English: burst | German: Breste | Dutch: barst | Swedish: brist,berst
English: thirst | German: Durst | Dutch: dorst | Swedish: törst,þurst
English: rackan | Dutch: raaks,racente
English: lend | German: Lende | Dutch: lende | Swedish: länd,lænden
German: abgeben | Dutch: afgeven,ofġifan
English: ward | German: Wirt | Dutch: waard | Swedish: värd,weard
German: Siebenstern | Dutch: zevenster,seofonstierre
English: nigh | German: nahe | Dutch: na,nēah
English: tie | Dutch: togenaar | Swedish: tåg,tēag
English: mold | German: Molte | Dutch: moude | Swedish: mull,molde
English: sow | German: säen | Dutch: zaaien | Swedish: så,sāwan
German: Sau | Swedish: so,sū
English: eke | Swedish: öka,ēacian
English: targe | German: Zarge | Dutch: targe,targe
German: Lite | Dutch: laat,lǣt
